PBW-6194, DUSTER, RENAULT, 998854
UHW-3018, CELTA, CHEVROLET, 306070
MQX-4510, VOYAGE, VOLKSWAGEN, 123367
VUQ-2363, ETIOS, TOYOTA, 840557
UWS-5017, JETA, VOLKSWAGEN, 102417
OGL-9605, FIT, HONDA, 416967
MCE-3341, STRADA, FIAT, 519579
ZAH-8474, CITY, HONDA, 40918
RTT-2220, VECTRA, CHEVROLET, 320246
TXH-6110, TORO, FIAT, 983798
FWR-6398, 207, PEUGEOT, 371414
PFB-4530, ETIOS SEDAN, TOYOTA, 643654
FAI-8005, HR-V, HONDA, 691239
ZLU-8487, CITY, HONDA, 259940
LZX-3140, C3, CITROËN, 17451
IHT-6997, FOX, VOLKSWAGEN, 661727
YYA-1717, KWID, RENAULT, 634605
UIF-9525, ECOSPORT, FORD, 728925
SPQ-4348, ONIX, CHEVROLET, 973677
LFS-8535, UNO, FIAT, 295721
JVM-6993, CELTA, CHEVROLET, 736752
FSW-8021, VECTRA, CHEVROLET, 109924
CCR-2858, FIESTA, FORD, 998247
ROP-7053, COROLLA, TOYOTA, 472050
WVY-1938, GOLF, VOLKSWAGEN, 518304
QCV-2101, CLASSIC, CHEVROLET, 442641
TAT-8229, CIVIC, HONDA, 559893
TLI-8783, TORO, FIAT, 853165
HGL-5907, FIT, HONDA, 570090
GRW-5241, COBALT, CHEVROLET, 395463
IZJ-2926, UP, VOLKSWAGEN, 112932
ZXG-5626, ONIX, CHEVROLET, 885442
ZDV-2142, HILUX, TOYOTA, 679003
ZIO-8005, CIVIC, HONDA, 113684
JPQ-7270, CIVIC, HONDA, 649862
DQD-5219, ETIOS SEDAN, TOYOTA, 355099
ZDX-9015, COBALT, CHEVROLET, 537535
YMO-2703, CELTA, CHEVROLET, 905525
GAN-8948, C3, CITROËN, 208544
AXS-1268, RENEGADE, JEEP, 723768
ALD-8959, FIT, HONDA, 515189
EFJ-3029, RENEGADE, JEEP, 204759
CAI-2655, IDEA, FIAT, 440773
ZEJ-8707, HILUX, TOYOTA, 841926
ICF-6948, CAPTUR, RENAULT, 709388
FAA-8649, ONIX, CHEVROLET, 185821
SEC-9133, FIT, HONDA, 86527
BGU-2666, FOCUS, FORD, 148962
ICD-9786, TORO, FIAT, 120493
CCJ-1604, ONIX, CHEVROLET, 467298
PQG-4556, FOCUS, FORD, 632750
XLY-7312, ONIX, CHEVROLET, 485345
KRQ-4884, FOCUS, FORD, 680469
EJA-7034, CITY, HONDA, 243392
HGQ-1840, SIENA, FIAT, 160993
NOC-6197, UNO, FIAT, 688227
JYM-8109, RENEGADE, JEEP, 698245
CAW-4126, PRISMA, CHEVROLET, 22825
IRO-8580, SPACEFOX, VOLKSWAGEN, 376526
DCB-5583, FIESTA, FORD, 994566
AWU-7923, CORSA, CHEVROLET, 228605
WXI-1321, IDEA, FIAT, 131216
FCC-6142, CORSA, CHEVROLET, 63030
PEG-3760, HILUX, TOYOTA, 489361
XUA-9721, A3, AUDI, 839919
RVZ-9991, ONIX, CHEVROLET, 281837
GWK-1839, PRISMA, CHEVROLET, 389971
WUU-2959, SPACEFOX, VOLKSWAGEN, 512494
JID-6747, PALIO, FIAT, 602447
QMZ-5614, SIENA, FIAT, 137344
IGR-9428, MOBI, FIAT, 949297
YBG-6718, HILUX, TOYOTA, 830766
GIJ-3850, HILUX, TOYOTA, 871380
JJZ-6486, ONIX, CHEVROLET, 721939
ZGH-1406, TUCSON, HYUNDAI, 832107
XSA-8236, CELTA, CHEVROLET, 339477
IHA-3440, ONIX, CHEVROLET, 239655
KSC-8558, ECOSPORT, FORD, 30291
MDW-8991, ONIX, CHEVROLET, 60071
ITM-4626, DUSTER, RENAULT, 710631
JDQ-6777, VOYAGE, VOLKSWAGEN, 858068
IFF-1377, STRADA, FIAT, 149891
ZZD-9049, ECOSPORT, FORD, 341190
RGC-9955, FIESTA, FORD, 413541
MMT-5940, CITY, HONDA, 502407
IHH-5511, KWID, RENAULT, 693676
TFH-3139, COROLLA, TOYOTA, 423054
PIE-8516, CLIO, RENAULT, 163186
UCM-3367, UP, VOLKSWAGEN, 187853
VGW-3686, TORO, FIAT, 484059
BWD-7544, COROLLA, TOYOTA, 239936
AOH-7187, FOX, VOLKSWAGEN, 453095
UJU-4474, SPACEFOX, VOLKSWAGEN, 338405
RJI-3644, KWID, RENAULT, 679649
JFE-3484, PALIO, FIAT, 814621
JDJ-4502, PRISMA, CHEVROLET, 105207
FNT-4888, CAPTIVA, CHEVROLET, 487073
FUU-9469, VECTRA, CHEVROLET, 162799
EZF-1774, HB20, HYUNDAI, 130098
VBX-3195, CAPTUR, RENAULT, 494427
KDG-2761, C3, CITROËN, 930653
ZSG-8451, I30, HYUNDAI, 372168
HKO-5375, PALIO WEEKEND, FIAT, 746296
ZFL-9619, COBALT, CHEVROLET, 890384
XHY-6370, FIT, HONDA, 876454
RSY-7397, UP, VOLKSWAGEN, 530694
ADW-2760, ETIOS, TOYOTA, 348016
MNR-4178, PUNTO, FIAT, 372721
PJD-1954, VECTRA, CHEVROLET, 271192
BCV-6100, SANDERO, RENAULT, 369539
VRW-2429, DUSTER, RENAULT, 33212
TWS-1481, DUSTER, RENAULT, 797344
ENE-8919, A3, AUDI, 318233
BHY-6441, RENEGADE, JEEP, 314078
WPH-5710, COROLLA, TOYOTA, 966731
TPH-3396, STRADA, FIAT, 707598
MXD-8656, SAVEIRO, VOLKSWAGEN, 22812
MCR-4225, SANDERO, RENAULT, 809299
NVQ-3506, HR-V, HONDA, 882650
MWB-1572, COROLLA, TOYOTA, 848586
ONC-1648, CORSA, CHEVROLET, 781756
IAR-4053, RENEGADE, JEEP, 401230
BSF-3890, LOGAN, RENAULT, 764271
UCB-9257, VOYAGE, VOLKSWAGEN, 573441
BQK-5190, TORO, FIAT, 544619
QGA-1412, STRADA, FIAT, 933631
GQD-5419, FOCUS, FORD, 990790
NPO-9736, SAVEIRO, VOLKSWAGEN, 942572
SNT-7582, HR-V, HONDA, 627008
MYT-1956, CLASSIC, CHEVROLET, 536956
BMU-8572, TORO, FIAT, 798625
SEF-3616, CORSA, CHEVROLET, 527276
YVA-7613, FOCUS, FORD, 888592
DPI-8217, PRISMA, CHEVROLET, 825736
JTD-9168, UP, VOLKSWAGEN, 557052
NCQ-5191, TORO, FIAT, 713719
DVV-8740, LOGAN, RENAULT, 620626
AVR-7240, CELTA, CHEVROLET, 646315
FDX-6513, MOBI, FIAT, 576128
NMK-1420, VOYAGE, VOLKSWAGEN, 299112
YHH-6228, VOYAGE, VOLKSWAGEN, 241332
JQZ-1839, KA, FORD, 798957
JCG-9343, CLASSIC, CHEVROLET, 15217
ICB-9118, FOCUS, FORD, 886960
CEK-6127, CLIO, RENAULT, 207582
RUS-4619, KWID, RENAULT, 381208
YDI-1402, FUSCA, VOLKSWAGEN, 320809
ZCM-5565, MARCH, NISSAN, 762386
YIY-8451, COROLLA, TOYOTA, 180042
JXJ-8182, TORO, FIAT, 696658